username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LoveGlass2;2009-10-01 23:59;0;0;"#h1n1 #news #swineflu Re: Navy ship docking in CA with onboard fatalities???: Thanks for the added info, knows7. There http://url4.eu/ZBhq";;;#h1n1 #news #swineflu;"4538655577";https://twitter.com/LoveGlass2/status/4538655577
LoveGlass2;2009-10-01 23:58;0;0;"#h1n1 #news #swineflu Re: Squleching debate: SteveMartin wrote:Just after I announced the location of the debate between http://url4.eu/ZBhm";;;#h1n1 #news #swineflu;"4538654309";https://twitter.com/LoveGlass2/status/4538654309
SwineFluNewsAU;2009-10-01 23:56;0;0;"Swine flu vaccine delayed http://tinyurl.com/yddohl7 #swineflu #h1n1";;;#swineflu #h1n1;"4538596606";https://twitter.com/SwineFluNewsAU/status/4538596606
Aife_Earthstone;2009-10-01 23:55;0;0;"RT @SwineFluDoctors #SwineFlu Swine flu vaccine arrives, and the scramble begins - USA Today http://ow.ly/15SmUA";;@SwineFluDoctors;#SwineFlu;"4538580329";https://twitter.com/Aife_Earthstone/status/4538580329
SwineFluNewsORG;2009-10-01 23:52;0;0;"Suppliers Face Winter Flu Vaccine Delays, Cutbacks http://tinyurl.com/ybeg6np #swineflu #h1n1";;;#swineflu #h1n1;"4538514654";https://twitter.com/SwineFluNewsORG/status/4538514654
SwineFluNewsNZ;2009-10-01 23:52;0;0;"H1N1 vaccine outlay will cover half a planet, WHO estimates http://tinyurl.com/yaauo7e #swineflu #h1n1";;;#swineflu #h1n1;"4538502003";https://twitter.com/SwineFluNewsNZ/status/4538502003
flu_realtime;2009-10-01 23:52;0;0;"New graduate senator, swine flu update at SGA meeting - ASU Herald : http://bit.ly/1xKErL #H1N1 #SwineFlu";;;#H1N1 #SwineFlu;"4538495844";https://twitter.com/flu_realtime/status/4538495844
SwineFluNewsEU;2009-10-01 23:51;0;0;"H1N1 case reported at Alton Central http://tinyurl.com/yc3oju7 #swineflu #h1n1";;;#swineflu #h1n1;"4538491343";https://twitter.com/SwineFluNewsEU/status/4538491343
SwineFluNewsHK;2009-10-01 23:51;0;0;"Swine Flu Ireland News http://tinyurl.com/neu7cu #swineflu #h1n1";;;#swineflu #h1n1;"4538490363";https://twitter.com/SwineFluNewsHK/status/4538490363
flu_realtime;2009-10-01 23:50;0;0;"Swine flu hospital admissions in West Midlands up by 72pc - The Birmingham Post : http://bit.ly/14dS2W #SwineFlu #H1N1";;;#SwineFlu #H1N1;"4538451371";https://twitter.com/flu_realtime/status/4538451371
SwineFluNewsHK;2009-10-01 23:49;0;0;"Homeopathic remedies still reason appeal to quarrel a flu http://tinyurl.com/ydgwh98 #swineflu #h1n1";;;#swineflu #h1n1;"4538431354";https://twitter.com/SwineFluNewsHK/status/4538431354
SwineFluNewsIE;2009-10-01 23:47;0;0;"Two some-more deaths from swine flu have been ... http://tinyurl.com/y8r6r6l #swineflu #h1n1";;;#swineflu #h1n1;"4538392344";https://twitter.com/SwineFluNewsIE/status/4538392344
SwineFluNewsSG;2009-10-01 23:47;0;0;"Third Global Vaccine Congress In Singapore To Also Feature Virtual Component http://tinyurl.com/lhamk5 #swineflu #h1n1";;;#swineflu #h1n1;"4538391674";https://twitter.com/SwineFluNewsSG/status/4538391674
SwineFluNewsUSA;2009-10-01 23:47;0;0;"Dona t dope around with flu http://tinyurl.com/ye9hsl6 #swineflu #h1n1";;;#swineflu #h1n1;"4538390949";https://twitter.com/SwineFluNewsUSA/status/4538390949
flu_realtime;2009-10-01 23:46;0;0;"Swine flu cases double: #vaccine on its way - Scotland Courier : http://bit.ly/O0zHq #H1N1 #SwineFlu";;;#vaccine #H1N1 #SwineFlu;"4538361633";https://twitter.com/flu_realtime/status/4538361633
swinefluh1n1;2009-10-01 23:46;0;0;""TFAH Report: H1N1 Challenges Ahead" http://tinyurl.com/y8gp6bt #swineflu #H1N1";;;#swineflu #H1N1;"4538357456";https://twitter.com/swinefluh1n1/status/4538357456
swinefluh1n1;2009-10-01 23:46;0;0;""Controversies in Hospital Infection Prevention: Is the H1N1 ..." http://tinyurl.com/yetqkhl #swineflu #H1N1";;;#swineflu #H1N1;"4538357022";https://twitter.com/swinefluh1n1/status/4538357022
swinefluh1n1;2009-10-01 23:46;0;0;""H1N1 Emergency Declared In Santa Clara County - Health News Story ..." http://tinyurl.com/ye6r4cx #swineflu #H1N1";;;#swineflu #H1N1;"4538356448";https://twitter.com/swinefluh1n1/status/4538356448
SwineFluNewsCA;2009-10-01 23:46;0;0;"Flu experts plead astringency index in tip alert http://tinyurl.com/y9w3rm2 #swineflu #h1n1";;;#swineflu #h1n1;"4538356098";https://twitter.com/SwineFluNewsCA/status/4538356098
